jelo,kategorija,cijena,datum
Kapućino,Kafa,2.0,2019-12-09 16:20:27
Jagoda,Piće,2.0,2019-11-27 01:55:41
Kupus salata 100g,Salata,1.0,2019-06-05 15:36:42
Pileće krpice,Roštilj,6.0,2019-10-19 02:36:29
Voćni sendvič,Sendvič,3.0,2019-05-18 22:50:10
Dupli čizburger,Ručak,6.0,2019-06-27 09:18:54
Voćni sendvič,Sendvič,3.0,2019-12-27 05:01:00
Indeks sendvič,Sendvič,2.0,2019-02-10 16:44:36
Pileći file,Roštilj,5.0,2019-09-30 08:52:14
Indeks sendvič,Sendvič,2.0,2019-02-12 07:55:27
Oslić 300g,Posno,8.0,2019-01-30 13:45:11
Doručak specijal,Doručak,6.0,2019-03-24 18:17:21
Omlet sa povrćem,Doručak,4.0,2019-02-11 04:47:10
Engleska salata 100g,Salata,2.0,2019-04-10 07:36:16
Jabuka,Piće,2.0,2019-11-20 16:00:09
Čizburger,Ručak,4.5,2019-01-15 18:58:31
Fruit smoothie 2,Smoothie,3.0,2019-02-14 05:55:00
Kola,Piće,2.0,2019-01-04 09:20:39
Omlet,Doručak,3.5,2019-04-14 02:01:17
Pileće krpice,Roštilj,6.0,2019-01-20 16:59:48
Čaj,Piće,1.5,2019-03-12 04:52:50
Šiš ćevapi,Roštilj,4.0,2019-06-29 08:39:28
Ćevapi velika porcija,Roštilj,6.5,2019-08-09 18:46:45
Jaja i kobasica,Doručak,5.0,2019-09-25 05:17:57
Omlet sa sirom,Doručak,4.0,2019-10-27 04:03:51
Ćevapi mala porcija,Roštilj,3.0,2019-02-12 12:20:52
Engleska salata 100g,Salata,2.0,2019-06-10 21:02:48
Omlet sa povrćem,Doručak,4.0,2019-11-07 23:19:08
Pileće krpice,Roštilj,6.0,2019-04-18 19:30:13
Luk,Salata,1.0,2019-07-16 05:03:10
Pileće krpice,Roštilj,6.0,2019-04-28 13:40:27
Luk,Salata,1.0,2019-01-06 00:58:32
Lignje 300g,Posno,8.0,2019-02-14 14:40:21
Ruska salata 100g,Salata,2.0,2019-09-11 05:22:45
Omlet sa sirom,Doručak,4.0,2019-06-03 20:26:11
Kafa,Kafa,2.0,2019-10-16 05:07:17
Pastrmka 200g,Posno,7.0,2019-03-18 18:11:59
Domaća čorba,Ručak,5.0,2019-12-04 19:19:13
Jaja i kobasica,Doručak,5.0,2019-12-03 00:39:30
Roštiljska kobasica,Roštilj,3.0,2019-03-21 23:20:21
Šiš ćevapi,Roštilj,4.0,2019-03-02 13:09:44
Ćevapi srednja porcija,Roštilj,5.0,2019-07-27 19:17:53
Kapućino,Kafa,2.0,2019-12-07 05:50:51
Oslić 300g,Posno,8.0,2019-10-10 07:37:24
Kafa,Kafa,2.0,2019-04-07 11:35:02
Fruit smoothie 3,Smoothie,3.0,2019-07-04 10:27:56
Omlet sa slaninom,Doručak,5.0,2019-10-29 04:40:40
Ćevapi velika porcija,Roštilj,6.5,2019-01-04 20:47:28
Vijetnamski som 200g,Posno,12.0,2019-11-29 12:27:00
Luk,Salata,1.0,2019-02-07 22:24:28
Pileće krpice,Roštilj,6.0,2019-10-02 19:08:17
Fruit smoothie 2,Smoothie,3.0,2019-01-16 11:41:59
Kola,Piće,2.0,2019-01-28 09:22:02
Pastrmka 200g,Posno,7.0,2019-05-24 00:14:16
Voćni sendvič,Sendvič,3.0,2019-05-04 04:57:18
Ruska salata 100g,Salata,2.0,2019-01-16 01:11:21
Lignje 300g,Posno,8.0,2019-01-26 02:22:20
Hercegovačko vino,Piće,20.0,2019-09-16 11:09:05
Jagoda,Piće,2.0,2019-06-26 16:35:33
Pileći file,Roštilj,5.0,2019-09-16 04:18:25
Cedevita,Piće,3.0,2019-10-26 07:03:22
Indeks sendvič,Sendvič,2.0,2019-12-10 20:15:42
Kafa,Kafa,2.0,2019-01-11 12:58:03
Indeks sendvič,Sendvič,2.0,2019-11-12 15:06:50
Pileće krpice,Roštilj,6.0,2019-10-18 00:32:05
Ruska salata 200g,Salata,4.0,2019-01-26 13:02:29
Luk,Salata,1.0,2019-05-25 04:30:31
Gurmanski hamburger,Ručak,7.0,2019-05-02 09:54:58
Ćevapi srednja porcija,Roštilj,5.0,2019-03-30 06:32:08
Voćni sendvič,Sendvič,3.0,2019-10-03 10:31:49
Riblja čorba,Posno,6.0,2019-10-26 23:07:52
Ćevapi srednja porcija,Roštilj,5.0,2019-07-17 02:53:25
Kafa,Kafa,2.0,2019-08-09 23:31:46
Ćevapi velika porcija,Roštilj,6.5,2019-11-26 09:35:55
Ruska salata 200g,Salata,4.0,2019-08-06 01:54:09
Jagoda,Piće,2.0,2019-06-16 23:42:51
Vijetnamski som 200g,Posno,12.0,2019-12-31 12:27:14
Dupli čizburger,Ručak,6.0,2019-01-22 20:03:02
Hamburger,Ručak,4.0,2019-09-01 18:02:07
Roštiljska kobasica,Roštilj,3.0,2019-06-16 17:08:52
Kola,Piće,2.0,2019-06-09 16:16:50
Kapućino,Kafa,2.0,2019-08-16 08:16:02
Dupli čizburger,Ručak,6.0,2019-02-05 22:15:04
Cedevita,Piće,3.0,2019-12-04 02:31:12
Ruska salata 200g,Salata,4.0,2019-08-03 10:10:45
Omlet sa povrćem,Doručak,4.0,2019-04-03 08:47:15
Hamburger,Ručak,4.0,2019-06-11 19:39:27
Hamburger,Ručak,4.0,2019-11-21 23:40:13
Fruit smoothie 2,Smoothie,3.0,2019-05-30 22:12:34
Omlet sa slaninom,Doručak,5.0,2019-02-11 22:59:50
Šiš ćevapi,Roštilj,4.0,2019-08-28 17:44:48
Jagoda,Piće,2.0,2019-03-09 05:49:11
Pastrmka 200g,Posno,7.0,2019-09-22 00:32:25
Omlet sa povrćem,Doručak,4.0,2019-05-06 12:12:04
Ćevapi velika porcija,Roštilj,6.5,2019-08-27 18:27:38
Jaja i kobasica,Doručak,5.0,2019-09-27 17:51:36
Indeks sendvič,Sendvič,2.0,2019-10-11 09:39:18
Kafa,Kafa,2.0,2019-12-10 00:19:51
Ruska salata 200g,Salata,4.0,2019-10-12 09:24:20
Ćevapi srednja porcija,Roštilj,5.0,2019-08-08 07:14:18
Pastrmka 200g,Posno,7.0,2019-04-18 05:56:57
Doručak specijal,Doručak,6.0,2019-05-22 13:20:40
Fruit smoothie 1,Smoothie,3.0,2019-06-21 06:37:33
Omlet sa povrćem,Doručak,4.0,2019-10-31 01:25:06
Oslić 300g,Posno,8.0,2019-12-12 01:20:17
Kupus salata 100g,Salata,1.0,2019-11-15 12:42:51
Domaća čorba,Ručak,5.0,2019-01-20 09:59:49
Dupli čizburger,Ručak,6.0,2019-09-22 09:35:21
Omlet sa povrćem,Doručak,4.0,2019-08-23 04:23:22
Hercegovačko vino,Piće,20.0,2019-07-15 03:57:53
Kupus salata 100g,Salata,1.0,2019-06-18 09:52:37
Doručak specijal,Doručak,6.0,2019-02-16 17:54:28
Omlet sa slaninom,Doručak,5.0,2019-10-31 21:20:22
Jabuka,Piće,2.0,2019-07-06 19:20:03
Indeks sendvič,Sendvič,2.0,2019-10-24 10:58:25
Omlet sa sirom,Doručak,4.0,2019-11-16 15:36:42
Kafa,Kafa,2.0,2019-12-13 11:03:24
Oslić 300g,Posno,8.0,2019-04-10 20:46:02
Vijetnamski som 200g,Posno,12.0,2019-10-20 11:29:52
Pileći file,Roštilj,5.0,2019-11-26 20:41:17
Kola,Piće,2.0,2019-02-15 16:26:48
Hercegovačko vino,Piće,20.0,2019-07-29 13:34:50
Kapućino,Kafa,2.0,2019-10-16 12:31:35
Jagoda,Piće,2.0,2019-05-21 22:47:10
Fruit smoothie 2,Smoothie,3.0,2019-01-25 12:19:27
Domaća čorba,Ručak,5.0,2019-07-17 02:35:47
Pileće krpice,Roštilj,6.0,2019-05-27 06:55:57
Pileći file,Roštilj,5.0,2019-11-15 12:54:53
Kapućino,Kafa,2.0,2019-09-06 15:03:29
Čaj,Piće,1.5,2019-08-02 04:00:46
Ruska salata 100g,Salata,2.0,2019-09-17 00:39:05
Omlet sa povrćem,Doručak,4.0,2019-02-24 03:32:46
Lignje 300g,Posno,8.0,2019-09-21 16:58:30
Vijetnamski som 200g,Posno,12.0,2019-05-19 20:34:58
Luk,Salata,1.0,2019-11-04 20:16:33
Indeks sendvič,Sendvič,2.0,2019-01-07 12:03:28
Fruit smoothie 2,Smoothie,3.0,2019-10-10 05:15:01
Fruit smoothie 2,Smoothie,3.0,2019-08-22 04:18:56
Jabuka,Piće,2.0,2019-10-21 09:02:31
Pastrmka 200g,Posno,7.0,2019-02-24 04:33:28
Bijelo Vino,Piće,15.0,2019-12-27 12:03:17
Hamburger,Ručak,4.0,2019-06-21 07:21:11
Fruit smoothie 2,Smoothie,3.0,2019-06-03 00:20:13
Roštiljska kobasica,Roštilj,3.0,2019-09-21 15:16:16
Bijelo Vino,Piće,15.0,2019-11-10 06:30:23
Pileći file,Roštilj,5.0,2019-12-31 09:44:04
Domaća čorba,Ručak,5.0,2019-01-05 17:23:56
Luk,Salata,1.0,2019-03-27 12:27:28
Kapućino,Kafa,2.0,2019-09-01 05:19:51
Doručak specijal,Doručak,6.0,2019-07-04 21:36:05
Kola,Piće,2.0,2019-06-30 23:29:15
Indeks sendvič,Sendvič,2.0,2019-05-20 09:12:34
Omlet sa sirom,Doručak,4.0,2019-07-17 18:18:59
Omlet sa sirom,Doručak,4.0,2019-02-06 12:52:50
Jabuka,Piće,2.0,2019-07-02 20:34:02
Čizburger,Ručak,4.5,2019-09-11 02:27:44
Šiš ćevapi,Roštilj,4.0,2019-10-25 01:31:07
Hercegovačko vino,Piće,20.0,2019-02-10 16:21:33
Jagoda,Piće,2.0,2019-12-24 12:36:27
Ćevapi mala porcija,Roštilj,3.0,2019-11-02 11:15:31
Vijetnamski som 200g,Posno,12.0,2019-03-24 02:18:14
Bijelo Vino,Piće,15.0,2019-08-07 13:57:20
Indeks sendvič,Sendvič,2.0,2019-11-06 18:00:40
Crno Vino,Piće,18.0,2020-01-01 20:22:28
Omlet,Doručak,3.5,2019-04-15 13:42:32
Kafa,Kafa,2.0,2019-11-19 19:07:55
Omlet sa sirom,Doručak,4.0,2019-05-07 19:43:38
Indeks sendvič,Sendvič,2.0,2019-02-01 16:49:54
Hamburger,Ručak,4.0,2019-07-06 10:46:38
Domaća čorba,Ručak,5.0,2019-09-28 05:42:18
Pileći file,Roštilj,5.0,2019-11-28 14:03:45
Indeks sendvič,Sendvič,2.0,2019-02-18 08:14:42
Šiš ćevapi,Roštilj,4.0,2019-05-12 21:43:12
Ćevapi srednja porcija,Roštilj,5.0,2019-11-07 16:30:48
Kola,Piće,2.0,2019-07-05 22:24:14
Riblja čorba,Posno,6.0,2019-09-01 11:03:53
Riblja čorba,Posno,6.0,2019-10-28 17:05:58
Indeks sendvič,Sendvič,2.0,2019-10-30 02:51:16
Hercegovačko vino,Piće,20.0,2019-08-09 01:54:44
Bijelo Vino,Piće,15.0,2019-03-19 07:18:09
Pileći file,Roštilj,5.0,2019-05-15 04:43:43
Gurmanski hamburger,Ručak,7.0,2019-06-18 09:05:56
Indeks sendvič,Sendvič,2.0,2019-04-13 18:17:59
Roštiljska kobasica,Roštilj,3.0,2019-09-02 02:40:18
Omlet sa povrćem,Doručak,4.0,2019-06-28 02:50:22
Kapućino,Kafa,2.0,2019-05-22 16:30:39
Gurmanski hamburger,Ručak,7.0,2019-07-17 10:02:20
Fruit smoothie 2,Smoothie,3.0,2019-02-26 23:53:46
Fruit smoothie 1,Smoothie,3.0,2019-07-04 09:10:06
Voćni sendvič,Sendvič,3.0,2019-12-26 17:31:04
Dupli čizburger,Ručak,6.0,2019-07-28 11:20:11
Indeks sendvič,Sendvič,2.0,2019-02-24 03:33:32
Dupli čizburger,Ručak,6.0,2019-08-04 02:12:06
Jabuka,Piće,2.0,2019-10-11 08:07:33
Doručak specijal,Doručak,6.0,2019-12-07 13:40:01
Fruit smoothie 1,Smoothie,3.0,2019-08-06 11:50:30
Crno Vino,Piće,18.0,2019-03-02 01:06:45
Lignje 300g,Posno,8.0,2019-05-12 12:35:38
Oslić 200g,Posno,6.0,2019-04-28 02:14:22
Fruit smoothie 2,Smoothie,3.0,2019-10-31 09:32:03
Domaća čorba,Ručak,5.0,2019-01-27 00:56:26
Oslić 300g,Posno,8.0,2019-02-23 14:44:57
Riblja čorba,Posno,6.0,2019-05-27 07:59:10
Jabuka,Piće,2.0,2019-12-05 13:00:08
Cedevita,Piće,3.0,2019-09-19 03:56:57
Domaća čorba,Ručak,5.0,2019-01-16 07:11:00
Kafa,Kafa,2.0,2019-12-25 23:52:38
Oslić 300g,Posno,8.0,2019-10-04 04:42:49
Dupli čizburger,Ručak,6.0,2019-12-14 01:08:22
Čaj,Piće,1.5,2019-12-16 19:07:43
Kola,Piće,2.0,2019-08-08 17:26:07
Ćevapi mala porcija,Roštilj,3.0,2019-09-23 09:03:51
Oslić 200g,Posno,6.0,2019-01-11 14:10:51
Jaja i kobasica,Doručak,5.0,2019-12-06 10:35:08
Fruit smoothie 1,Smoothie,3.0,2019-08-27 05:21:23
Voćni sendvič,Sendvič,3.0,2019-11-14 13:14:12
Šiš ćevapi,Roštilj,4.0,2019-10-28 05:53:04
Čaj,Piće,1.5,2019-02-24 20:28:28
Roštiljska kobasica,Roštilj,3.0,2019-12-26 15:38:46
Fruit smoothie 1,Smoothie,3.0,2019-06-22 23:58:55
Kafa,Kafa,2.0,2019-10-09 01:11:01
Domaća čorba,Ručak,5.0,2019-08-30 00:07:32
Fruit smoothie 2,Smoothie,3.0,2019-09-16 10:33:47
Kapućino,Kafa,2.0,2019-11-10 09:01:36
Hercegovačko vino,Piće,20.0,2019-09-05 12:20:17
Čizburger,Ručak,4.5,2019-09-09 09:02:39
Jagoda,Piće,2.0,2019-02-15 00:14:47
Ćevapi srednja porcija,Roštilj,5.0,2019-09-27 03:01:41
Oslić 300g,Posno,8.0,2019-11-01 19:02:14
Vijetnamski som 200g,Posno,12.0,2019-03-15 17:46:18
Fruit smoothie 3,Smoothie,3.0,2019-01-01 22:14:33
Crno Vino,Piće,18.0,2019-12-25 02:54:01
Bijelo Vino,Piće,15.0,2019-08-25 11:43:21
Domaća čorba,Ručak,5.0,2019-05-24 12:40:03
Omlet sa slaninom,Doručak,5.0,2019-07-09 07:25:43
Omlet sa sirom,Doručak,4.0,2019-02-28 11:30:12
Roštiljska kobasica,Roštilj,3.0,2019-08-25 04:10:19
Oslić 200g,Posno,6.0,2019-01-23 15:08:41
Roštiljska kobasica,Roštilj,3.0,2019-08-17 18:32:22
Pileće krpice,Roštilj,6.0,2019-06-05 06:01:41
Čaj,Piće,1.5,2019-01-06 05:18:27
Oslić 300g,Posno,8.0,2019-06-07 20:16:52
Omlet sa sirom,Doručak,4.0,2019-04-25 05:56:16
Čaj,Piće,1.5,2019-02-05 21:04:57
Vijetnamski som 200g,Posno,12.0,2019-05-10 12:45:24
Kola,Piće,2.0,2019-08-01 21:23:37
Voćni sendvič,Sendvič,3.0,2019-11-27 00:37:39
Vijetnamski som 200g,Posno,12.0,2019-03-17 16:30:05
Crno Vino,Piće,18.0,2019-07-15 02:17:46
Čaj,Piće,1.5,2019-07-25 09:05:08
Čizburger,Ručak,4.5,2019-02-26 05:40:51
Čizburger,Ručak,4.5,2019-10-10 13:02:30
Lignje 300g,Posno,8.0,2019-04-21 22:23:36
Kupus salata 100g,Salata,1.0,2019-04-08 14:12:58
Jaja i kobasica,Doručak,5.0,2019-08-08 17:01:36
Omlet sa slaninom,Doručak,5.0,2019-07-31 16:45:27
Ćevapi velika porcija,Roštilj,6.5,2019-02-08 16:12:03
Omlet sa povrćem,Doručak,4.0,2019-12-01 02:45:19
Hamburger,Ručak,4.0,2019-03-08 14:30:01
Ćevapi srednja porcija,Roštilj,5.0,2019-10-04 07:14:57
Doručak specijal,Doručak,6.0,2019-06-05 09:28:56
Indeks sendvič,Sendvič,2.0,2019-04-07 04:16:20
Omlet sa sirom,Doručak,4.0,2019-12-29 22:18:58
Dupli čizburger,Ručak,6.0,2019-09-17 15:50:43
Fruit smoothie 3,Smoothie,3.0,2019-05-18 12:20:18
Engleska salata 100g,Salata,2.0,2019-04-07 19:44:55
Gurmanski hamburger,Ručak,7.0,2019-02-28 10:43:45
Pastrmka 200g,Posno,7.0,2019-07-10 04:39:21
Omlet sa sirom,Doručak,4.0,2019-06-13 15:18:18
Čizburger,Ručak,4.5,2019-02-27 17:32:34
Oslić 200g,Posno,6.0,2019-08-20 06:10:04
Bijelo Vino,Piće,15.0,2019-04-29 10:23:00
Ćevapi velika porcija,Roštilj,6.5,2019-06-23 15:44:31
Hamburger,Ručak,4.0,2019-01-11 16:06:33
Roštiljska kobasica,Roštilj,3.0,2019-11-29 09:41:04
Voćni sendvič,Sendvič,3.0,2019-05-11 09:34:34
Omlet sa povrćem,Doručak,4.0,2019-02-10 22:30:54
Roštiljska kobasica,Roštilj,3.0,2019-08-19 09:22:26
Luk,Salata,1.0,2019-09-02 09:38:33
Čaj,Piće,1.5,2019-02-09 14:12:02
Kapućino,Kafa,2.0,2019-01-13 05:04:15
Oslić 300g,Posno,8.0,2019-04-25 05:07:27
Lignje 300g,Posno,8.0,2019-12-02 12:12:06
Domaća čorba,Ručak,5.0,2019-08-31 14:41:34
Domaća čorba,Ručak,5.0,2019-01-12 14:55:27
Engleska salata 100g,Salata,2.0,2019-02-13 13:13:09
Šiš ćevapi,Roštilj,4.0,2019-02-11 18:25:38
Hercegovačko vino,Piće,20.0,2019-05-27 03:32:42
Jaja i kobasica,Doručak,5.0,2019-01-14 20:43:24
Oslić 300g,Posno,8.0,2019-04-06 18:47:09
Indeks sendvič,Sendvič,2.0,2019-02-21 23:43:36
Šiš ćevapi,Roštilj,4.0,2019-07-01 05:19:16
Fruit smoothie 3,Smoothie,3.0,2019-09-20 02:25:52
Dupli čizburger,Ručak,6.0,2019-06-13 05:03:31
Crno Vino,Piće,18.0,2019-09-13 08:46:28
Fruit smoothie 3,Smoothie,3.0,2019-12-12 23:39:10
Gurmanski hamburger,Ručak,7.0,2019-06-21 23:38:55
Omlet,Doručak,3.5,2019-07-05 20:40:37
Ćevapi srednja porcija,Roštilj,5.0,2019-10-20 15:03:48
Ćevapi srednja porcija,Roštilj,5.0,2019-04-20 19:59:52
Kola,Piće,2.0,2019-04-03 20:42:24
Omlet sa sirom,Doručak,4.0,2019-02-16 05:55:06
Kupus salata 100g,Salata,1.0,2019-11-27 13:46:28
Pileći file,Roštilj,5.0,2019-05-15 15:35:14
Crno Vino,Piće,18.0,2019-08-21 20:11:33
Roštiljska kobasica,Roštilj,3.0,2019-10-22 07:48:21
Oslić 300g,Posno,8.0,2019-02-01 17:12:02
Fruit smoothie 2,Smoothie,3.0,2019-12-06 03:22:20
Čaj,Piće,1.5,2019-10-20 04:15:28
Kola,Piće,2.0,2019-04-01 02:26:06
Čaj,Piće,1.5,2019-11-29 09:13:41
Šiš ćevapi,Roštilj,4.0,2019-08-31 10:09:42
Jagoda,Piće,2.0,2019-01-08 04:47:12
Ćevapi velika porcija,Roštilj,6.5,2019-08-01 18:43:05
Hercegovačko vino,Piće,20.0,2019-05-24 20:05:24
Šiš ćevapi,Roštilj,4.0,2019-10-23 18:30:26
Ruska salata 100g,Salata,2.0,2019-02-12 06:40:05
Hercegovačko vino,Piće,20.0,2019-01-29 22:13:14
Gurmanski hamburger,Ručak,7.0,2019-03-12 05:01:30
Oslić 200g,Posno,6.0,2019-10-13 02:30:52
Doručak specijal,Doručak,6.0,2019-10-11 10:04:23
Riblja čorba,Posno,6.0,2019-06-26 02:03:02
Ćevapi velika porcija,Roštilj,6.5,2019-04-19 14:02:56
Omlet,Doručak,3.5,2019-09-25 03:17:03
Čizburger,Ručak,4.5,2019-06-16 17:38:19
Bijelo Vino,Piće,15.0,2019-01-17 15:52:52
Pastrmka 200g,Posno,7.0,2019-02-17 14:55:36
Kafa,Kafa,2.0,2019-11-13 17:15:21
Vijetnamski som 200g,Posno,12.0,2019-04-26 18:00:55
Fruit smoothie 3,Smoothie,3.0,2019-12-08 13:55:10
Ruska salata 200g,Salata,4.0,2019-08-15 15:44:45
Kupus salata 100g,Salata,1.0,2019-10-07 05:20:26
Omlet sa slaninom,Doručak,5.0,2019-02-24 11:01:23
Crno Vino,Piće,18.0,2019-09-23 12:18:40
Ćevapi velika porcija,Roštilj,6.5,2019-01-20 19:19:54
Kapućino,Kafa,2.0,2019-03-25 20:02:34
Kapućino,Kafa,2.0,2019-07-05 16:50:56
Jagoda,Piće,2.0,2019-11-23 16:53:33
Ćevapi srednja porcija,Roštilj,5.0,2019-01-26 05:36:45
Čaj,Piće,1.5,2019-10-04 18:49:42
Ćevapi srednja porcija,Roštilj,5.0,2019-04-30 12:22:05
Jaja i kobasica,Doručak,5.0,2019-07-14 10:39:57
Ćevapi mala porcija,Roštilj,3.0,2019-12-20 23:28:56
Kapućino,Kafa,2.0,2019-02-27 21:50:35
Omlet,Doručak,3.5,2019-10-14 06:37:38
Kapućino,Kafa,2.0,2019-11-04 18:56:54
Dupli čizburger,Ručak,6.0,2019-01-30 00:35:44
Kola,Piće,2.0,2019-09-16 00:25:32
Pileće krpice,Roštilj,6.0,2019-05-14 20:22:36
Kafa,Kafa,2.0,2019-05-13 16:24:03
Pileći file,Roštilj,5.0,2019-11-06 04:58:11
Jagoda,Piće,2.0,2019-11-02 23:29:51
